CP002775.1	 GCA_000214805.1
CP002777.1	 GCA_000214845.1
CP002780.1	 GCA_000215085.1
CP002789.1	 GCA_000221965.1
CP002811.1	 GCA_000215895.1
CP002815.1	 GCA_000217615.1
CP002819.1	 GCA_000215325.1
CP002824.1	 GCA_000215745.1
CP002859.1	 GCA_000218895.1
CP002870.1	 GCA_000219705.1
CP002872.1	 GCA_000219045.1
CP002873.1	 GCA_000325665.1
CP002874.1	 GCA_000223215.1
CP002876.1	 GCA_000219585.1
CP002881.1	 GCA_000219605.1
CP002886.1	 GCA_000239975.1
CP002898.1	 GCA_000219785.1
CP002905.1	 GCA_000227465.1
CP002907.1	 GCA_000143885.2
CP002910.1	 GCA_000220485.1
CP002914.1	 GCA_000225915.1
CP002917.1	 GCA_000179395.2
CP002955.1	 GCA_000222485.1
CP002956.1	 GCA_000222975.1
CP002961.1	 GCA_000263195.1
CP002967.1	 GCA_000258145.1
CP002970.1	 GCA_000258025.1
CP002991.1	 GCA_000147695.3
CP002999.1	 GCA_000224085.1
CP003001.1	 GCA_000193435.3
CP003017.1	 GCA_000225265.1
CP003022.1	 GCA_000234745.1
CP003026.1	 GCA_000224675.1
CP003034.1	 GCA_000227625.1
CP003041.1	 GCA_000262325.2
CP003043.1	 GCA_000298115.2
CP003046.1	 GCA_000225955.1
CP003047.1	 GCA_000235545.1
CP003056.1	 GCA_000169195.2
CP003071.1	 GCA_000327065.1
CP003075.1	 GCA_000230555.1
CP003084.1	 GCA_000231215.1
CP003085.1	 GCA_000233595.1
CP003096.1	 GCA_000233775.1
CP003099.1	 GCA_000241025.2
CP003108.1	 GCA_000235605.1
CP003109.1	 GCA_000245515.1
CP003119.1	 GCA_000247715.1
CP003147.1	 GCA_000236645.1
CP003149.1	 GCA_000271365.1
CP003150.1	 GCA_000237065.1
CP003154.1	 GCA_000227745.3
CP003155.1	 GCA_000236685.1
CP003156.1	 GCA_000236705.1
CP003171.1	 GCA_000243075.1
CP003178.1	 GCA_000246855.1
CP003190.1	 GCA_000397205.1
CP003191.1	 GCA_000238215.1
CP003195.1	 GCA_000240015.1
CP003196.1	 GCA_000240035.1
CP003197.1	 GCA_000240055.1
CP003198.1	 GCA_000266925.1
CP003200.1	 GCA_000240185.2
CP003218.1	 GCA_000240325.1
CP003221.1	 GCA_000212675.2
CP003244.1	 GCA_000241955.1
CP003249.1	 GCA_000309885.1
CP003252.1	 GCA_000258245.1
CP003260.1	 GCA_000235405.3
CP003273.1	 GCA_000233715.3
CP003278.1	 GCA_000245535.1
CP003289.1	 GCA_000299455.1
CP003293.1	 GCA_000376705.1
CP003297.1	 GCA_000299255.1
CP003301.1	 GCA_000299475.1
CP003312.1	 GCA_000263215.1
CP003313.1	 GCA_000255915.1
CP003328.1	 GCA_000512395.1
CP003333.1	 GCA_000265295.1
CP003350.1	 GCA_000242255.3
CP003358.1	 GCA_000230995.3
CP003360.1	 GCA_000266945.1
CP003382.1	 GCA_000317835.1
CP003386.1	 GCA_000252875.1
CP003388.1	 GCA_000252855.1
CP003402.1	 GCA_000262205.1
CP003403.1	 GCA_000255535.1
CP003408.1	 GCA_000789335.1
CP003409.1	 GCA_000789375.1
CP003415.1	 GCA_000260925.1
CP003416.1	 GCA_000258365.1
CP003424.1	 GCA_000747565.1
CP003488.1	 GCA_000259175.1
CP003490.1	 GCA_000296575.1
CP003492.1	 GCA_000259365.1
CP003500.1	 GCA_000187205.4
CP003549.1	 GCA_000316665.1
CP003555.1	 GCA_000219915.3
CP003557.1	 GCA_000279145.1
CP003563.1	 GCA_000265205.2
CP003588.1	 GCA_000264665.1
CP003629.1	 GCA_000231385.3
CP003666.1	 GCA_000163055.2
CP003677.1	 GCA_000267545.1
CP003678.1	 GCA_000235765.3
CP003683.1	 GCA_000276705.2
CP003696.1	 GCA_000418365.1
CP003725.1	 GCA_000279165.1
CP003734.1	 GCA_000281215.1
CP003735.1	 GCA_000283275.1
CP003737.1	 GCA_000286275.1
CP003738.1	 GCA_000325725.1
CP003740.1	 GCA_000155675.2
CP003742.1	 GCA_000155735.2
CP003745.1	 GCA_000347595.1
CP003761.1	 GCA_000454045.1
CP003776.1	 GCA_000294535.1
CP003778.1	 GCA_000349225.1
CP003785.1	 GCA_000294365.1
CP003786.1	 GCA_000462995.1
CP003787.1	 GCA_000295655.1
CP003788.1	 GCA_000294515.1
CP003836.1	 GCA_000380325.1
CP003837.1	 GCA_000347635.1
CP003839.1	 GCA_000298875.1
CP003846.1	 GCA_000419385.1
CP003851.1	 GCA_000300135.1
CP003862.1	 GCA_000168775.2
CP003872.1	 GCA_000302535.1
CP003875.1	 GCA_000307145.1
CP003877.1	 GCA_000302515.1
CP003880.1	 GCA_000316175.1
CP003915.1	 GCA_000521505.1
CP003923.1	 GCA_000706725.1
CP003926.1	 GCA_000311765.1
CP003932.1	 GCA_000313385.1
CP003938.1	 GCA_000330845.1
CP003942.1	 GCA_000330865.1
CP003949.1	 GCA_000599545.1
CP003959.1	 GCA_000336425.1
CP003961.1	 GCA_000494915.1
CP003985.1	 GCA_000341395.1
CP003999.1	 GCA_000512165.1
CP004009.1	 GCA_000332755.1
CP004012.1	 GCA_000348545.1
CP004015.1	 GCA_000330885.1
CP004020.1	 GCA_000331695.1
CP004022.1	 GCA_000444425.1
CP004027.1	 GCA_000341425.1
CP004045.1	 GCA_000336465.1
CP004047.1	 GCA_000404145.1
CP004048.1	 GCA_000404185.1
CP004055.1	 GCA_000496645.1
CP004061.1	 GCA_000359505.1
CP004077.1	 GCA_000390265.1
CP004082.1	 GCA_000338115.2
CP004086.1	 GCA_000430105.1
CP004091.1	 GCA_000339015.1
CP004121.1	 GCA_000340885.1
CP004140.1	 GCA_000346065.1
CP004141.1	 GCA_000348565.1
CP004142.1	 GCA_000367425.1
CP004143.1	 GCA_000349845.1
CP004345.1	 GCA_000286435.2
CP004348.1	 GCA_000342265.1
CP004350.1	 GCA_000550785.1
CP004354.1	 GCA_000344785.1
